region_id,SalesDate,PackageID,Sum-Quantity,Summa-бел руб
1,15-Mar-15,5,6.818181818,172809.76
1,15-Mar-15,5,6.909090909,174984.9519
1,15-Mar-15,5,23.37272727,598406.8248
1,15-Mar-15,5,3,76616.51634
2,15-Mar-15,5,6,146714.417
2,15-Mar-15,5,1.428571429,40430.47619
2,15-Mar-15,5,0.8571428571,24258.28571
2,15-Mar-15,5,0.4285714286,12129.14286
2,15-Mar-15,5,9.285714286,268914.4286
2,15-Mar-15,5,7,198430.7963
2,15-Mar-15,5,18,479572.5855
2,15-Mar-15,5,2,58457.875
3,15-Mar-15,5,5,141006.2596
3,15-Mar-15,5,1,29758.98684
3,15-Mar-15,5,7,200524.2333
3,15-Mar-15,5,29,835750.2572
4,15-Mar-15,5,26,768584.5775
4,15-Mar-15,5,14,385425.9114
4,15-Mar-15,5,4,114638.7686
5,15-Mar-15,5,6.875,176022.3271
5,15-Mar-15,5,3.25,83203.94817
5,15-Mar-15,5,2.625,67204.12059
5,15-Mar-15,5,9.25,236807.1377
5,15-Mar-15,5,11.25,288045.3438
5,15-Mar-15,5,17.75,454409.6376
6,15-Mar-15,5,2,50723
6,15-Mar-15,5,2,50085.78049
6,15-Mar-15,5,1,26841.11111
6,15-Mar-15,5,12,324764.5389
6,15-Mar-15,5,2,43585
6,15-Mar-15,5,18,460167.1538
7,15-Mar-15,5,23,540650
7,15-Mar-15,5,25,583217
7,15-Mar-15,5,15,374969.6571
7,15-Mar-15,5,2,39601
7,15-Mar-15,5,4,95023
8,15-Mar-15,5,5,134521.1183
8,15-Mar-15,5,5.222222222,140386.822
8,15-Mar-15,5,15.33333333,412361.9104
8,15-Mar-15,5,7.222222222,195720.9403
8,15-Mar-15,5,10,269042.2366
8,15-Mar-15,5,21.22222222,600859.2628
9,15-Mar-15,5,10.6,303247.1866
9,15-Mar-15,5,6,172328.6185
9,15-Mar-15,5,4.4,127574.3597
9,15-Mar-15,5,10,295464.6353
9,15-Mar-15,5,4,118475.6842
9,15-Mar-15,5,1,29618.92105
9,15-Mar-15,5,8,236951.3684
9,15-Mar-15,5,5,148094.6053
9,15-Mar-15,5,1,29618.92105
9,15-Mar-15,5,2.058823529,55634.63801
9,15-Mar-15,5,2.705882353,76282.98578
9,15-Mar-15,5,5.705882353,170003.3045
9,15-Mar-15,5,5.411764706,149402.7957
9,15-Mar-15,5,7.705882353,227211.5572
9,15-Mar-15,5,4.411764706,125543.4331
9,15-Mar-15,5,12.57142857,365653.026
9,15-Mar-15,5,2.857142857,82942.85714
9,15-Mar-15,5,3.857142857,113029.539
9,15-Mar-15,5,3.714285714,107825.7143
9,15-Mar-15,5,2,56596.95238
9,15-Mar-15,5,3,84895.42857
9,15-Mar-15,5,1,29829.23333
9,15-Mar-15,5,4,119316.9333
9,15-Mar-15,5,4,119316.9333
9,15-Mar-15,5,4,123012.7
9,15-Mar-15,5,3.466666667,92899.8713
9,15-Mar-15,5,6.866666667,183895.8255
9,15-Mar-15,5,5.333333333,142547.2593
9,15-Mar-15,5,8.933333333,239499.1176
9,15-Mar-15,5,7.4,198150.5514
9,15-Mar-15,5,5,129283.2432
9,15-Mar-15,5,7,199707.4352
9,15-Mar-15,5,7,184738.7195
9,15-Mar-15,5,8,214337.5471
9,15-Mar-15,5,7.125,192180.7519
9,15-Mar-15,5,21,572927.0531
9,15-Mar-15,5,2,59120.48
9,15-Mar-15,5,5,142205.24
9,15-Mar-15,5,4,118240.96
10,15-Mar-15,5,6,166160.6829
10,15-Mar-15,5,2.9,97512.5
10,15-Mar-15,5,4.3,138444.1087
10,15-Mar-15,5,1.6,47656.6087
10,15-Mar-15,5,2.2,67831.6087
10,15-Mar-15,5,4,124039.4068
10,15-Mar-15,5,3,90378.61017
10,15-Mar-15,5,11,323426.6667
10,15-Mar-15,5,26,773996.25
10,15-Mar-15,5,4,102097
10,15-Mar-15,5,6,189910
10,15-Mar-15,5,1,29618.30769
10,15-Mar-15,5,22,530323
11,15-Mar-15,5,4,101263.9474
11,15-Mar-15,5,10,247984.7368
11,15-Mar-15,5,7,173589.3158
12,15-Mar-15,5,6.3333,169584.3884
12,15-Mar-15,5,6,156912.8
12,15-Mar-15,5,1,26152.13333
12,15-Mar-15,5,8,209217.0667
